id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
c2655cd3-038a-4c5f-8535-d31d2cb2b2eb,Diogo da Conceição,1991-08-11,747.876.236-05,40451-724,Sousa de Minas,SP,Brasil,M,+55 84 7450-6241,74787623605@exemplo.com.br,2024-01-16
a8861562-4046-41b3-be29-ea8b752a5ad4,Calebe Albuquerque,1982-11-19,368.626.619-66,90501-578,Ferreira dos Dourados,BA,Brasil,F,71 9013-5566,36862661966@exemplo.com.br,2025-01-03
cc8786ab-2b20-47c6-acc9-ae45b3d5cfac,Sofia Porto,1944-07-31,981.248.078-63,41307-731,Andrade do Norte,PB,Brasil,F,0900 037 3909,98124807863@exemplo.com.br,2025-09-04
a2837f46-a6ea-45af-8836-b7ccb7f6676a,Marcos Vinicius Macedo,1977-06-04,459.136.247-06,05104411,Fonseca,BA,Brasil,F,(021) 6290 7863,45913624706@exemplo.com.br,2025-07-05
be0fea2e-08e2-4408-b368-b91e16aab35a,Luiz Henrique Viana,1946-09-09,067.593.882-47,43116813,Machado da Mata,GO,Brasil,F,+55 (041) 7998 9891,06759388247@exemplo.com.br,2024-12-16
de7eed97-4cd6-44c8-b940-1132b7468bf6,Murilo Almeida,1944-09-26,056.963.982-90,45666750,da Rosa,RR,Brasil,M,(071) 4489-3876,05696398290@exemplo.com.br,2025-05-25
a5acd5ed-a796-46ef-aa92-14b23bd1f530,Isabelly Viana,1969-05-13,950.809.557-72,01244-096,Campos de Goiás,ES,Brasil,F,(084) 8172-8825,95080955772@exemplo.com.br,2024-10-14
451e8e43-4c9c-4bf8-938f-3ded250dfbb6,Maysa Araújo,1940-09-29,976.515.524-47,39515-231,Câmara,ES,Brasil,M,(051) 0085-8433,97651552447@exemplo.com.br,2025-01-31
47466a2c-ae4f-44fc-949a-9a5e28bac613,Giovanna Camargo,1974-04-18,484.150.081-54,70422-889,Pastor de Goiás,PA,Brasil,F,+55 (051) 6105-0782,48415008154@exemplo.com.br,2025-10-04
8500d8aa-a597-4072-9ee1-269a0ed79865,Srta. Anna Liz Cavalcante,1937-01-11,435.703.726-89,01005-652,Siqueira Alegre,RO,Brasil,F,(041) 3385 4718,43570372689@exemplo.com.br,2025-09-09
41bcb4ff-2125-4ab0-986f-311b0fda2f96,Heloísa Vasconcelos,1950-12-04,544.724.245-34,84260261,Rodrigues,TO,Brasil,M,+55 (031) 3286-9520,54472424534@exemplo.com.br,2024-05-05
