id_pedido,cpf,valor_pedido,valor_frete,valor_desconto,cupom,endereco_entrega_logradouro,endereco_entrega_numero,endereco_entrega_bairro,endereco_entrega_cidade,endereco_entrega_estado,endereco_entrega_pais,status_pedido,data_pedido
2b8d56b0-e520-4bf5-934a-388ea1bb7e81,121.897.838-26,702.36,18.23,0.00,,Passarela Lorena Aragão,11,Vila Da Amizade,Oliveira,SE,Brasil,cancelado,2025-07-24
bcd5d222-e5f1-4f5c-8574-b2f8407c3746,760.006.928-83,1852.14,88.44,0.00,,Parque Carvalho,99,Parque São Pedro,Monteiro,SE,Brasil,pago,2024-07-06
d7ede409-5228-469b-aae5-efc022fa0a90,004.587.601-48,192.18,90.91,0.00,,Lago Matteo Vasconcelos,246,Lorena,Pacheco das Flores,RJ,Brasil,pendente,2025-05-03
f855af97-ee87-4ce2-b352-576e436304e2,723.977.572-29,1963.06,61.82,0.00,,Passarela Ana Julia Souza,23,Tres Marias,Caldeira,PB,Brasil,cancelado,2025-03-02
306b5c58-1414-44bd-9088-54f5737bd0d7,496.547.247-99,1780.66,17.30,0.00,,Loteamento de Abreu,56,Santa Amelia,Fernandes,AL,Brasil,pendente,2024-04-29
03f2a0e5-c16e-4ce8-b6ca-9177a6e16ffe,647.559.562-29,119.42,66.78,0.00,,Lago de Pires,53,Caiçara - Adelaide,Vieira de da Mota,DF,Brasil,entregue,2024-10-06
5d4aa655-8f54-4859-86b9-358893d7a617,940.731.766-55,641.67,97.29,0.00,,Conjunto Gomes,25,Barro Preto,Pinto Paulista,BA,Brasil,pendente,2025-09-20
9903d127-38a1-4a36-9986-1a31193e9807,229.312.122-23,101.39,23.64,0.00,,Área de Dias,49,Corumbiara,da Costa do Amparo,MG,Brasil,cancelado,2023-11-30
9b11db24-d177-4f95-a212-36fa802fa50d,667.097.001-72,1379.79,57.49,0.00,,Núcleo Campos,17,São Tomaz,Nunes de Barros,AM,Brasil,pendente,2025-04-06
c59222cc-d18e-407e-8bb7-ad759c0d7cc7,974.331.426-17,1543.08,45.82,0.00,,Estrada de Cassiano,188,Vila Engenho Nogueira,Sá,CE,Brasil,entregue,2025-02-05
c1c95aaa-d0ca-4f0f-9674-9fbc62d5e25e,097.655.647-33,318.65,90.23,0.00,,Travessa Pacheco,4,Leticia,Macedo de Pacheco,RS,Brasil,enviado,2024-11-07
a442ee10-30f3-4de0-9dad-2b3df39962b7,546.245.921-12,427.61,10.50,0.00,,Trecho da Cunha,28,Vila Aeroporto,Alves,PR,Brasil,pago,2024-05-27
b7cb6e73-9d12-4c88-acc4-10922ef33541,044.232.511-15,1197.80,76.01,0.00,,Alameda Guilherme Martins,48,Mangueiras,Fonseca,ES,Brasil,cancelado,2025-02-20
de17518a-c03d-4b48-9ebe-f9fc44df90d9,647.977.668-72,139.27,87.96,0.00,,Setor Lucca Nascimento,18,Cruzeiro,Ferreira dos Dourados,GO,Brasil,pago,2024-04-08
9c73ce94-adac-4ef4-b97a-286c0f7b52be,951.291.434-57,199.39,9.15,15.37,CUPOM847C4117,Condomínio Stella Pires,7,Álvaro Camargos,Brito da Mata,MT,Brasil,enviado,2024-12-24
53b3dc1f-03e1-4c7f-969f-73c16520ccbe,747.101.336-30,1327.66,32.78,0.00,,Avenida Oliveira,35,Vila Nova Cachoeirinha 2ª Seção,Moraes do Galho,PA,Brasil,cancelado,2025-07-22
5d7b6022-5d03-4c1f-bf4a-699ad445fa19,043.815.439-73,983.47,28.77,60.50,CUPOM6B43745C,Praça Pacheco,28,Copacabana,Rodrigues,PR,Brasil,cancelado,2024-06-09
c0d822a5-8f59-41b2-8bb7-5a9f7ea43b5b,471.765.732-52,1015.11,38.91,0.00,,Trecho João Guilherme Vargas,24,São Jorge 3ª Seção,da Costa,SE,Brasil,pago,2024-06-06
96765064-1d0b-4061-b4d7-fa6952930e0f,908.213.972-03,1440.61,79.12,0.00,,Passarela Pedro Miguel Cassiano,3,Vila Paquetá,Macedo de Martins,TO,Brasil,enviado,2025-09-06
119f7cd4-f73f-4aa6-9413-76221775f555,566.314.641-78,1077.35,71.29,0.00,,Trecho Maria Sophia Moura,49,Barro Preto,Moraes de da Conceição,RN,Brasil,cancelado,2024-10-06
9d4a58c5-4aaf-4724-a67b-90a3e09ddc4f,069.274.214-22,155.30,72.02,0.00,,Condomínio Farias,71,Vila Antena,Guerra do Norte,PE,Brasil,cancelado,2025-02-27
96da7672-cc43-48ad-a14b-9ca8d96f1bf0,855.719.696-57,595.58,18.03,0.00,,Avenida Juan da Rocha,749,Embaúbas,Aragão da Serra,GO,Brasil,cancelado,2025-03-08
f9bb36d4-fc80-4a55-a5b4-dda55dfa4f0c,322.985.278-81,644.63,16.66,0.00,,Avenida da Rosa,15,Nossa Senhora Aparecida,Leão Grande,RN,Brasil,pago,2024-07-19
4c7a6328-fe1e-460c-8508-ecf50a6579cf,437.631.610-09,1956.92,66.74,0.00,,Travessa João Felipe da Cruz,155,Horto Florestal,Silveira do Campo,PR,Brasil,entregue,2025-07-15
093bbbce-16cc-4a8d-9e66-c5145c05c8c9,826.350.908-28,91.51,30.68,0.00,,Avenida de Souza,677,Bela Vitoria,Nunes,PB,Brasil,cancelado,2025-03-31
c0d42948-886c-4ae0-8dc0-d2c8b46ce52f,355.738.644-21,635.81,10.67,0.00,,Praça de Andrade,40,Vila Independencia 3ª Seção,Cassiano de Moreira,SC,Brasil,cancelado,2024-10-03
1c4f732a-8fd6-4ff5-bddd-cca7b09c31b0,258.209.082-46,1015.95,41.54,0.00,,Morro Rios,341,Cabana Do Pai Tomás,Araújo dos Dourados,PE,Brasil,pendente,2023-10-30
e2e41c18-949a-468f-8d44-525fdb87f513,306.230.954-33,451.17,9.96,51.73,CUPOMB6086199,Rua de Casa Grande,1,Vila Jardim Montanhes,Costa da Serra,RJ,Brasil,enviado,2025-07-19
c657307c-9219-4bf1-b97f-ad85db303cbb,931.634.846-71,1106.02,7.47,0.00,,Núcleo Matheus Martins,72,Vila Petropolis,Rodrigues do Amparo,PB,Brasil,cancelado,2025-07-26
6a61029a-e144-42ff-b4bf-9e1e8b91de71,991.114.361-35,1849.26,81.97,0.00,,Chácara Liam Fernandes,666,Nova Cintra,Marques do Galho,SC,Brasil,cancelado,2025-02-05
8f1a3465-13c2-4335-86b5-9d26eb2960fb,660.540.750-95,1526.64,83.78,0.00,,Ladeira Casa Grande,48,Conjunto Capitão Eduardo,Moura,PA,Brasil,entregue,2025-10-01
9352cfc9-a42f-407f-b78c-ee0254692287,907.094.642-80,1576.09,76.48,0.00,,Alameda da Rosa,80,São Tomaz,Sousa,PB,Brasil,pendente,2025-05-24
76e82b5c-2a0b-4507-9ccc-e24804692119,681.820.402-05,806.82,69.41,0.00,,Avenida Isabel Pastor,270,Vila Independencia 1ª Seção,Sá,SP,Brasil,cancelado,2024-03-13
1420d8fb-e6d7-4264-abbe-eb4755eb74a0,854.251.060-81,876.48,78.06,0.00,,Trevo Abreu,41,Biquinhas,Pereira,RN,Brasil,enviado,2025-04-25
9bbf556e-5afe-44c8-b728-dbc1ff1c543c,333.573.520-49,1922.59,99.30,0.00,,Núcleo Rebeca da Paz,842,Vila Da Amizade,Gonçalves,TO,Brasil,pago,2024-11-05
34fd8338-8263-406f-9fe5-6581fd1aeec5,085.599.190-03,1820.04,69.85,0.00,,Passarela Vieira,5,Lajedo,Nogueira,RR,Brasil,enviado,2025-07-26
616d7e19-1d05-4e6b-a145-7298cb8d3fbb,251.100.433-49,1997.67,33.10,0.00,,Lago de Correia,83,Pompéia,Nunes,AC,Brasil,cancelado,2024-09-18
2a2d1cb2-74a6-4cc5-83d6-4edf57d4e1cd,776.232.936-70,125.28,30.53,0.00,,Fazenda de Costela,76,São Pedro,da Cunha Paulista,SP,Brasil,enviado,2025-04-18
e279f401-a7f9-4746-86ce-d674af95579a,831.279.151-69,74.06,67.77,0.00,,Trecho Yago da Cruz,25,Tiradentes,Nogueira,PB,Brasil,enviado,2024-03-05
0aec2b50-6c8d-4bf2-9aa5-3f3d0ce87c85,035.993.382-49,915.43,8.52,46.99,CUPOM32A1B830,Viaduto de Ribeiro,339,Piratininga,Duarte,MS,Brasil,enviado,2024-05-19
f614575f-8aff-4dca-b4dc-e5597e5efb68,247.955.110-56,1293.60,43.82,0.00,,Favela de Farias,96,Aarão Reis,Sales,MG,Brasil,cancelado,2023-11-27
bdcd925b-56ef-4898-81bb-60395a77b46d,338.513.441-46,589.07,34.83,0.00,,Aeroporto de Pereira,968,Varzea Da Palma,Rios,RS,Brasil,pendente,2025-08-09
79558bc3-0514-4f58-8fa1-873131ddbabc,918.851.820-56,400.62,31.23,0.00,,Alameda de Pires,19,Barão Homem De Melo 3ª Seção,Moura de Vieira,AM,Brasil,entregue,2024-03-06
ea9e9343-1643-464e-bf67-7b82ee2a9add,874.178.392-02,493.47,67.32,89.16,CUPOM4AFE04D9,Lagoa de Nogueira,99,Ápia,Melo,RJ,Brasil,pago,2024-01-15
39b083e9-b188-4b42-bdb4-073a22007a35,666.705.570-89,1326.47,46.83,167.15,CUPOMC3078E2A,Sítio Luara Abreu,48,Vila Pilar,Garcia,SE,Brasil,enviado,2025-08-04
f4981ba4-1e8e-488a-945c-bedb8bea2864,752.910.275-10,1129.15,95.41,0.00,,Núcleo Rodrigues,175,Bacurau,Barbosa,SP,Brasil,enviado,2025-05-16
c1029050-0609-4f11-9eb6-21fe9530b479,069.868.973-41,81.43,85.69,0.00,,Passarela Mariah Pastor,71,Cônego Pinheiro 2ª Seção,Leão,PA,Brasil,cancelado,2024-10-12
33114c15-a527-4ee1-b7af-748d7060ac70,311.170.146-70,1221.13,12.36,0.00,,Aeroporto de Pinto,5,Floresta,Siqueira de Castro,AL,Brasil,entregue,2024-01-12
c57f6520-0ef0-48fb-b466-bcac29f9b2fe,076.831.283-48,1046.52,35.95,0.00,,Distrito Natália Fogaça,1,São Tomaz,Pacheco Alegre,BA,Brasil,enviado,2024-03-18
18761092-34e9-41dc-945a-84194d7c8a8b,043.845.518-12,189.22,31.89,0.00,,Setor Garcia,90,Mineirão,Rodrigues da Mata,AP,Brasil,pendente,2024-10-05
0deb3fc5-7844-45ec-862e-cfef8ba46b48,379.078.793-00,1233.59,97.63,0.00,,Feira Emanuella Lima,139,Novo São Lucas,Nogueira da Serra,TO,Brasil,enviado,2024-03-12
c01a41c7-5f33-4d30-8738-30b925fc2ede,400.299.438-35,1887.84,7.96,0.00,,Estação de Carvalho,3,Flavio De Oliveira,Montenegro de Sales,RJ,Brasil,enviado,2025-09-28
da0b9a8e-73f2-4550-9095-0c0e5376e7f8,604.104.396-35,617.20,15.09,85.60,CUPOM064152F3,Estação Luan Santos,410,Alto Das Antenas,da Mata de da Luz,PB,Brasil,pago,2025-08-01
15a08e5a-9075-44ed-9fec-a474db4c6256,741.073.067-32,1046.05,53.28,0.00,,Área Daniel Abreu,18,Buraco Quente,Azevedo do Galho,BA,Brasil,cancelado,2024-05-14
102ed2fe-2891-4994-944a-711f24161c60,504.886.213-71,1882.88,60.36,0.00,,Largo Gustavo Henrique Correia,9,Dom Cabral,Correia dos Dourados,ES,Brasil,pago,2023-12-28
c4dbeed1-5dd5-43dc-a0f9-df3bc508ca49,550.917.021-67,1537.09,95.74,0.00,,Trevo Nascimento,55,Bernadete,da Costa,RS,Brasil,pago,2024-03-10
b393a8e0-4b3e-49ff-b4e7-0dd11b836cfe,570.028.675-45,1031.82,57.08,0.00,,Estrada Cavalcante,95,Centro,Pastor,MG,Brasil,entregue,2024-03-14
8911195a-3043-4223-bc42-53e11a93e1ed,903.123.933-73,1479.44,55.14,0.00,,Praça Maria Liz Garcia,26,Novo Glória,Gonçalves,PE,Brasil,pendente,2024-10-30
43eeebda-32fb-4370-8af4-baad72a40dc3,720.981.252-54,971.04,46.90,0.00,,Fazenda da Mota,66,Mirante,Sales,RR,Brasil,enviado,2024-06-14
718286f9-0279-4b5c-83f7-487a3a7da9a7,463.681.904-09,1680.22,28.18,0.00,,Fazenda João Pedro Costela,72,Padre Eustáquio,Rocha da Prata,PB,Brasil,pago,2025-07-28
261c9897-fa3b-45da-9633-a656bd25809a,859.814.283-47,500.24,97.38,0.00,,Feira Lorena Brito,597,Tupi B,Camargo da Praia,RJ,Brasil,pago,2025-06-08
12ec89a7-2c0c-484a-a4a6-5f0d392fbf14,304.246.569-26,1478.96,39.38,0.00,,Setor de Andrade,70,Piratininga,Cavalcante de Silveira,GO,Brasil,enviado,2023-10-27
a8207533-4f7a-480b-a547-8457e170eea7,219.614.675-88,1036.00,67.07,0.00,,Pátio de da Rosa,447,Santa Cruz,Costa,AM,Brasil,cancelado,2024-02-03
b011edd2-c83f-40be-a7eb-722285426a40,768.858.456-82,925.49,59.09,0.00,,Lago de da Rocha,685,Jardim Vitoria,Sales de Castro,TO,Brasil,pago,2024-07-29
51605b05-a749-454b-a193-753de4fb91b0,161.650.599-73,527.64,69.04,0.00,,Lago Henry da Mata,98,Santa Helena,Borges,PI,Brasil,pago,2024-08-18
4e78aef4-173e-46eb-8364-efb8cfd3e694,699.290.608-98,557.54,34.82,0.00,,Favela de Guerra,39,Goiania,Pastor,RO,Brasil,pendente,2024-08-03
f693bcae-3ad4-42f8-818f-a72e28cda40f,860.790.344-41,870.99,59.72,0.00,,Estação Maria Isis Novais,5,São José,da Luz,SE,Brasil,pago,2025-05-11
08cbd39c-98ad-426a-844f-033441b60bb5,049.766.014-60,1758.99,30.02,119.82,CUPOM1FB20033,Condomínio Gonçalves,858,Cidade Jardim Taquaril,Gonçalves,DF,Brasil,cancelado,2024-10-13
c376dd9c-3fac-44c7-897c-d3239be40d67,213.134.206-79,1498.57,45.98,82.59,CUPOM80E87ACC,Feira de Viana,92,Bonsucesso,Câmara da Mata,BA,Brasil,pago,2025-08-15
82dde524-6125-4536-b6ed-f70b735fb376,555.815.367-39,308.14,92.27,0.00,,Fazenda Luiz Felipe da Conceição,403,Vila Minaslandia,Cassiano Verde,AC,Brasil,entregue,2025-05-13
1b020f8e-ec6d-414b-a69a-64cf251689b6,037.343.545-00,298.53,27.94,0.00,,Rua da Conceição,7,Bela Vitoria,Gonçalves do Amparo,RN,Brasil,enviado,2025-08-22
5939608f-92a3-429d-9ff4-b64bc52281f9,367.599.792-53,706.78,36.98,0.00,,Área Henrique Dias,89,Barro Preto,Jesus,RN,Brasil,cancelado,2025-01-05
4d11b0d2-9de2-4746-870a-1797ac8608a9,351.598.418-46,1988.56,38.72,319.78,CUPOMBC32BA0C,Morro de da Costa,551,Vila Ecológica,Martins da Praia,SC,Brasil,entregue,2024-11-21
7aefb813-84cd-4b91-8dbb-fe5931a64a59,058.036.013-26,1280.12,46.39,0.00,,Sítio Paulo Azevedo,2,Boa Vista,Guerra,PR,Brasil,entregue,2024-11-21
8ada06d0-2fb8-4c62-839b-e6c9c85bd80a,803.285.632-85,1480.21,61.01,0.00,,Largo de Dias,17,Unidas,Fonseca,AC,Brasil,cancelado,2024-05-30
02e5a907-623b-41a4-b99b-b256e6302a28,473.953.853-84,346.90,69.02,48.20,CUPOM6E1A643C,Campo Sarah Lopes,220,Conjunto Santa Maria,Sousa,RJ,Brasil,entregue,2024-09-16
01df2e99-1500-4a47-b1ce-fc36f7499a24,667.097.001-72,674.85,31.53,106.88,CUPOMEC25BDB8,Rodovia Calebe Ramos,5,Vila Rica,Monteiro,GO,Brasil,pendente,2024-09-01
240b88c1-0087-4c7a-a134-140f9d87a8f4,089.539.740-16,629.83,58.59,0.00,,Loteamento Arthur Miguel Nogueira,85,Guarani,Campos de Minas,GO,Brasil,cancelado,2025-03-24
01e5ad4e-30df-480b-8cfc-73d88ab38b29,408.103.473-60,1041.04,32.10,0.00,,Pátio Isaac Aparecida,2,Vera Cruz,Costa,AP,Brasil,entregue,2024-09-09
f18a5d1c-44cf-4ced-86a6-f2f72e9463bf,576.589.516-83,1526.74,8.98,0.00,,Jardim Martins,59,Canaa,Fernandes de Goiás,RR,Brasil,pago,2024-11-20
a4885c50-ace1-4e2f-ae72-0fcf3d835854,342.676.601-71,1062.31,63.47,0.00,,Lagoa de Correia,91,Novo Ouro Preto,Campos Alegre,TO,Brasil,pendente,2025-04-11
72c5ebb2-7c5c-447b-93aa-b1d096380f85,386.386.917-15,605.34,46.70,55.13,CUPOM0FFD1C75,Trevo Valentina Rodrigues,4,Sport Club,Câmara,RS,Brasil,pago,2025-07-03
8bdfe972-a8ea-453b-91c6-bacf9e5dabd8,218.854.011-93,1881.45,62.59,0.00,,Ladeira de Jesus,66,Canaa,Ribeiro,SP,Brasil,pendente,2024-06-08
aebbf72e-61ef-4423-a50f-c8516ae641bf,707.959.822-93,1349.55,84.69,109.35,CUPOMA02D90A2,Condomínio Ramos,44,Vila Batik,Pacheco Alegre,PA,Brasil,pago,2025-02-22
c6f3c053-2e03-4841-9b6c-63f7dbcf5ce6,152.043.388-51,1216.86,56.10,223.41,CUPOM8A5EDB1F,Setor Silveira,63,Vila De Sá,Vieira,SP,Brasil,pago,2024-09-01
990eb6b3-6738-45bb-938c-d27b1635203c,159.277.557-13,1002.31,40.11,0.00,,Pátio Emanuella Silva,21,Granja De Freitas,Duarte da Prata,TO,Brasil,enviado,2025-08-25
04ad6919-b960-44eb-a540-c000e658df61,067.582.155-86,881.68,16.99,0.00,,Área Isis Brito,100,Serra Verde,Câmara dos Dourados,BA,Brasil,entregue,2025-05-22
7ae65cda-d5af-4c37-9162-d6dff20863c3,844.712.875-92,1840.09,92.32,0.00,,Praça Cunha,533,São Marcos,Borges,MT,Brasil,pendente,2024-12-22
3d593699-5124-44af-817a-fe21a6dcc070,940.338.780-11,1783.32,13.25,0.00,,Colônia de Moraes,7,Floramar,Novais da Serra,MG,Brasil,pago,2025-02-11
a721fff8-09b7-42a1-a320-b16e18a54295,202.777.275-26,1476.69,12.51,152.18,CUPOM297911E2,Quadra de Costela,60,Santa Cecilia,Lima,PA,Brasil,pago,2024-09-19
504fac57-bf97-4e88-b7c6-1483a7761955,578.660.187-01,687.88,31.23,0.00,,Estação Nunes,86,Beira Linha,Cassiano,RN,Brasil,cancelado,2025-04-02
b876ff4c-36ce-4d42-98b0-6fe32a926a52,563.792.234-97,1428.28,92.85,0.00,,Recanto Bella Melo,88,Engenho Nogueira,Rezende,PA,Brasil,entregue,2024-12-13
aa25fa3e-ded6-4492-a5d9-131fb4f27926,399.237.819-85,1868.12,35.17,0.00,,Favela Silveira,963,Vila Jardim Montanhes,da Costa da Mata,PI,Brasil,cancelado,2025-07-06
ff236261-e56b-4664-b931-d99c9ccf82b3,239.362.602-65,1900.91,28.36,0.00,,Parque de Peixoto,86,Comiteco,Silveira,RO,Brasil,cancelado,2024-02-06
1c4eae6d-994a-4583-9b94-4bf1380212a8,054.240.091-60,1750.62,23.59,0.00,,Passarela de Martins,8,Vila São Rafael,Silva de Goiás,PI,Brasil,entregue,2024-08-22
160f5b70-a318-43c6-bd45-dbb7b67f5b3a,917.950.078-70,994.79,17.52,123.86,CUPOM53CE6B2D,Residencial Oliver Costa,90,Vila Minaslandia,Jesus do Oeste,SE,Brasil,pendente,2024-10-13
ac9bc895-9852-4835-9aab-00f7a6b0f50f,459.960.171-29,1721.46,5.30,0.00,,Chácara Moura,65,Cônego Pinheiro 2ª Seção,Pires do Galho,AC,Brasil,pendente,2025-01-20
95d33bff-fd96-43e7-b1fe-81940a74cbd2,014.322.054-89,1137.59,21.92,0.00,,Conjunto Laura Marques,89,Diamante,da Mata,AM,Brasil,entregue,2025-01-08
ced8a441-1d3b-46c6-a3dc-b87c7414386b,014.220.708-68,1246.09,27.30,0.00,,Colônia de Fernandes,13,Vila Madre Gertrudes 3ª Seção,Gomes de Sales,GO,Brasil,enviado,2023-12-15
b761d980-24ad-4786-bbc4-46a2a0608f41,102.085.962-96,1084.40,88.40,0.00,,Conjunto João Pedro Pacheco,54,Vila Madre Gertrudes 4ª Seção,Vasconcelos da Serra,SE,Brasil,pago,2024-10-04
663432d4-2da9-423b-b3a9-ebff2ebb4bca,160.370.931-46,1352.55,64.85,0.00,,Estrada da Rosa,45,Aparecida,Ribeiro do Galho,RN,Brasil,cancelado,2025-07-17
bd9abaea-1952-411c-9791-21827389520e,912.159.633-54,1109.66,25.80,0.00,,Condomínio Fonseca,699,Vila Califórnia,Santos da Prata,RS,Brasil,enviado,2025-06-02
3006f17e-7e55-43f4-98c9-aaa2d730b7e0,561.963.370-89,1940.26,67.93,0.00,,Largo Moura,52,Vila Da Ária,Freitas,RS,Brasil,pendente,2025-06-05
aec6d0c3-838b-41e5-b539-8017f5a654f3,165.219.965-74,956.24,15.79,0.00,,Ladeira de Sá,39,Castelo,Rocha de Cirino,PE,Brasil,entregue,2023-11-24
19b101fb-3544-4b70-9e7e-3fc6753f24ca,998.867.143-74,1558.68,81.45,0.00,,Avenida Davi Miguel Oliveira,46,Paulo Vi,Campos,MS,Brasil,entregue,2025-01-13
0739f5a1-b788-468c-9035-a3800e7a29fe,681.525.491-28,853.41,32.64,0.00,,Loteamento de Ferreira,87,Engenho Nogueira,Pinto do Oeste,MS,Brasil,cancelado,2025-07-11
45c9220b-f31c-47ad-84b0-7666ec7af7b2,901.190.741-64,1785.13,10.78,0.00,,Condomínio de da Cunha,48,Piratininga,Fonseca de Andrade,SC,Brasil,enviado,2024-05-21
44202afc-334f-4af1-ac60-3d506af111d3,703.157.281-84,1366.23,81.86,0.00,,Residencial de Santos,45,São Jorge 3ª Seção,Martins,RN,Brasil,entregue,2024-10-28
fe4a4094-0b41-44f5-90f4-f4c738d66dc3,650.263.370-80,558.36,25.80,68.58,CUPOM2829CDBD,Sítio Fogaça,64,Vila Do Pombal,da Rocha da Praia,PE,Brasil,pendente,2025-07-22
2731d8ce-8f74-4089-bce9-75565e0a5548,671.803.082-78,922.89,88.18,0.00,,Área Maria Sophia Martins,7,Pantanal,Aparecida,RN,Brasil,cancelado,2025-04-08
