id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
23fd4512-7199-4484-a483-ca8cb1f141ed,Benjamim Azevedo,1939-05-12,963.571.609-50,00193929,Rocha,RJ,Brasil,M,31 6761 5921,96357160950@exemplo.com.br,2024-08-17
1b1a92d7-5d4d-4bb8-abfe-e7fae962f5ce,Murilo Sales,1991-10-02,149.095.947-12,05604-819,Viana do Oeste,AP,Brasil,M,+55 (011) 6569-5225,14909594712@exemplo.com.br,2023-09-17
a97b6a51-3566-4a56-b230-a4975ffd8a37,Antônio Campos,1951-08-25,127.371.157-33,71547-677,da Mata,PI,Brasil,F,+55 71 8720 0900,12737115733@exemplo.com.br,2024-10-22
415a96e3-921d-48dd-aa8d-2e3f75aa6e66,Eloá Teixeira,1960-01-31,693.636.568-75,23783-482,Moraes de Marques,MG,Brasil,M,+55 31 4680-3899,69363656875@exemplo.com.br,2023-11-25
e562bf2d-8d22-4f31-892f-ce01f70f9123,Ryan Nogueira,1996-05-12,690.862.920-37,04050487,Dias de Goiás,MG,Brasil,M,84 0340-6041,69086292037@exemplo.com.br,2024-04-05
caf7e462-b9fb-4cc2-9e17-77774d3e30e2,Dra. Helena Ribeiro,1992-11-08,288.834.565-21,15409-468,Rezende de Azevedo,MS,Brasil,M,(021) 6577 5984,28883456521@exemplo.com.br,2025-04-12
b65d84e9-a2ad-41c6-b86f-bc6a30ddb34b,Dra. Luísa Andrade,1967-06-12,365.955.932-85,79449-163,Machado de Goiás,RN,Brasil,M,+55 (081) 4465 9429,36595593285@exemplo.com.br,2025-01-23
49a3781d-ccf6-4c33-8557-706a8cf7c638,Maria Julia Silva,1987-05-01,988.185.582-06,87861-774,Andrade de Abreu,PB,Brasil,M,(061) 5074-0437,98818558206@exemplo.com.br,2023-08-23
58cd9491-aea2-4a3b-9e83-45a8bf1c3b93,Antônio Macedo,1937-12-04,303.078.303-03,73481908,Rezende,PE,Brasil,F,(061) 2637-7113,30307830303@exemplo.com.br,2024-04-24
c686f59e-0108-4472-911e-1ea72045a42a,Clara Jesus,1982-10-30,555.580.474-05,91731020,da Mata de Cardoso,MA,Brasil,M,+55 31 0001-1389,55558047405@exemplo.com.br,2023-11-26
ec1f303f-7f1d-42e3-9c0d-ca226bfad598,Sabrina Moreira,1944-01-16,795.129.576-52,49711215,da Costa do Galho,DF,Brasil,M,+55 (021) 7004 5665,79512957652@exemplo.com.br,2024-03-03
58b216b7-bca7-4d66-b149-650201aa341c,Maria Castro,1997-05-11,229.228.506-13,47792-873,Martins,RR,Brasil,M,+55 61 9596 9542,22922850613@exemplo.com.br,2025-04-05
92453a40-3c11-43fe-b51d-efe34bdb5445,Gabrielly Fogaça,1992-09-12,761.416.682-55,43212656,Vasconcelos,AP,Brasil,M,+55 61 8603 7019,76141668255@exemplo.com.br,2023-12-05
a9ee1310-c010-4ae1-a3c2-c9c7ced9415a,João Felipe Vasconcelos,2003-01-30,573.515.186-63,22207-526,Sá,RR,Brasil,M,(061) 8474-5773,57351518663@exemplo.com.br,2024-07-06
31020c27-87de-4476-9b5c-da8a1b4c700f,Murilo Azevedo,1990-06-01,115.047.052-19,40139682,das Neves,BA,Brasil,M,71 1557-4401,11504705219@exemplo.com.br,2023-05-31
18885399-0c1d-4a4b-a357-8ec6ad23e1a4,Bianca Câmara,1994-04-25,232.662.137-16,62787094,Nunes do Oeste,PE,Brasil,M,+55 (084) 1318 0727,23266213716@exemplo.com.br,2024-04-27
6e19a07e-7a02-41e0-be2a-1680fa4fc936,Dr. Theo Teixeira,1983-07-01,808.909.483-09,10858259,Pacheco,PR,Brasil,F,(041) 7210 3808,80890948309@exemplo.com.br,2025-03-08
87b95637-5f96-46d2-9127-489b1d37a7cd,Heloisa Albuquerque,1992-07-07,544.059.071-62,75214-245,Brito do Galho,CE,Brasil,M,(041) 3865-6986,54405907162@exemplo.com.br,2024-02-07
dd937373-f823-4980-a68d-1a9caaac7d99,Liam Sá,2004-11-26,487.549.219-48,37593-741,Costela,PA,Brasil,F,(071) 4989-2391,48754921948@exemplo.com.br,2024-10-26
431c45f9-45ee-46ae-9273-32ae820f0625,Ana Vitória Pires,1964-05-22,581.185.050-04,79123745,Rezende Verde,PI,Brasil,F,(061) 0721-0188,58118505004@exemplo.com.br,2024-05-31
3ce0a482-a817-4ee1-9cbf-fd2cac9075ea,Rebeca Fonseca,1950-07-21,569.347.429-79,33866884,Freitas,PR,Brasil,M,(081) 4026-2274,56934742979@exemplo.com.br,2024-06-29
edd2c6ac-5fa7-498e-a0dc-a0b7d5631149,Ravi Lucca Cunha,1986-05-30,487.413.375-48,68059-895,Silva Paulista,SE,Brasil,M,0900-966-8308,48741337548@exemplo.com.br,2023-12-11
c185f588-7074-4a69-92e9-97d93cad76f0,Lucas Santos,1942-09-07,253.747.046-67,79967-516,Brito,PE,Brasil,F,(061) 6336-6112,25374704667@exemplo.com.br,2024-04-29
8667fcbe-4a6f-44c8-9567-e3e73a5dc6e5,Brenda Costa,1978-08-02,139.784.265-10,53180163,Vieira de Peixoto,PB,Brasil,F,(011) 4999-5580,13978426510@exemplo.com.br,2024-02-29
a4b1a419-39cd-499f-863b-cee6831c9e0a,Srta. Nicole Vieira,1941-07-20,188.308.868-43,54309495,Cirino,TO,Brasil,F,+55 (011) 9394 2161,18830886843@exemplo.com.br,2023-06-08
a89231a5-9f9e-48f4-9d38-070ebfd1eb7a,Maria Liz Gonçalves,1996-07-30,201.837.210-21,42055604,Moura Verde,PE,Brasil,M,0900 273 8545,20183721021@exemplo.com.br,2025-01-17
