id_pedido,cpf,valor_pedido,valor_frete,valor_desconto,cupom,endereco_entrega_logradouro,endereco_entrega_numero,endereco_entrega_bairro,endereco_entrega_cidade,endereco_entrega_estado,endereco_entrega_pais,status_pedido,data_pedido
918e3241-fbbc-46b1-886a-6ac95d09dcad,121.577.053-01,702.36,18.23,0.00,,Vale de Melo,90,Chácara Leonina,Souza Grande,MT,Brasil,cancelado,2024-10-13
764bf042-0f4c-4361-bfa0-679cdedd859c,588.955.014-22,1852.14,88.44,0.00,,Praia Moraes,86,Conjunto Capitão Eduardo,Nascimento da Praia,RN,Brasil,pago,2024-04-05
47d4b217-057b-4734-bcee-ec745bc24f5d,669.193.406-21,192.18,90.91,0.00,,Fazenda Gabriel Silveira,877,Vila Tirol,Aragão,MT,Brasil,pendente,2025-04-09
a8cb1136-45a6-4393-912f-c67135af1ec9,122.057.914-92,1963.06,61.82,0.00,,Área de Fernandes,83,Túnel De Ibirité,Correia,PB,Brasil,cancelado,2024-07-26
2b923a09-a931-441a-af4c-127a0a551345,411.290.457-57,1780.66,17.30,0.00,,Largo Sara Viana,80,Conjunto Califórnia Ii,Barros,MS,Brasil,pendente,2024-04-13
b666f722-ca9a-48ce-ad7a-18c199479610,556.842.455-61,119.42,66.78,0.00,,Alameda Pastor,36,Betânia,Ferreira,SE,Brasil,entregue,2024-08-29
a3404bbf-cc8f-4446-896d-15c6345e91f8,294.713.261-45,641.67,97.29,0.00,,Ladeira de Garcia,369,Vitoria,Lima,MT,Brasil,pendente,2023-10-07
de5a62fd-92a2-4b28-91f2-b8b787f88afa,125.191.311-08,101.39,23.64,0.00,,Largo Nascimento,85,Vila Aeroporto,da Cunha,AM,Brasil,cancelado,2023-06-25
6c3e7ef0-c68b-454a-8bb5-158bb9b0e4e0,864.010.605-81,1379.79,57.49,0.00,,Sítio Martins,42,Mala E Cuia,Mendes,SP,Brasil,pendente,2024-03-25
c2520901-2de2-4858-9f51-380b8f786718,104.977.726-07,1543.08,45.82,0.00,,Estrada Rezende,38,Vila Calafate,da Costa do Campo,SC,Brasil,entregue,2023-08-23
afdea52d-91d3-4a57-8da6-58015c27087d,477.564.141-12,318.65,90.23,0.00,,Passarela Ravy Lopes,26,Santo Antônio,Almeida das Pedras,RJ,Brasil,enviado,2024-02-24
bc449f01-2356-49c0-a736-cac118b3577c,830.414.224-99,427.61,10.50,0.00,,Condomínio Olívia Rocha,92,Mangabeiras,Cavalcante,SE,Brasil,pago,2024-10-19
387cfd98-3d1c-4ed9-96c9-029aea6063b0,433.955.588-94,1197.80,76.01,0.00,,Loteamento Thomas Dias,11,Vila Jardim Alvorada,Vasconcelos de Minas,MG,Brasil,cancelado,2023-10-08
5122a513-fb44-48d3-938f-d976152cd386,138.277.025-83,139.27,87.96,0.00,,Trecho Camargo,91,São Luiz,Castro Grande,AC,Brasil,pago,2024-06-24
